4FGL Name, NS, NS_BIN, HMXB, LMXB, AGN, CV, YSO, HM-STAR, LM-STAR, gamma-candidate, coverage (%)
J1857.1+0056,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,,100
J1900.7+0426,4/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,4/2,2N,94
J1901.5--2208,3/0,0/0,0/0,0/0,5/4,0/0,0/0,0/0,2/2,5A  3N,94
J1902.2+0448,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,2N,57
J1906.9+0712,2/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,1/1,1H 1N,100
J1912.2--3636,0/0,1/1,0/0,0/0,3/2,1/0,0/0,0/0,0/0,3A  1B,39
J1912.7+0957,17/1,0/0,0/0,1/0,0/0,0/0,5/2,0/0,5/4,8N,100
J1929.8+1832,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,1N,23
J1951.0+2523,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1N,22
J2042.7+1519,0/0,0/0,0/0,0/0,1/0,1/1,0/0,0/0,0/0,,100
J2108.0+5155,1/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,1/1,1N,100
J2112.5--3043,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1N,100
J2122.3+7653,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,97
J2144.7--5640,2/0,0/0,0/0,0/0,9/8,0/0,0/0,0/0,0/0,8A 2N,100
J2203.3--5009,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,8
J2210.2+5919,31/9,0/0,0/0,0/0,0/0,0/0,2/1,1/0,7/5,18N,78
J2234.8--2610,6/0,1/0,0/0,0/0,13/7,0/0,0/0,0/0,0/0,11A 5N 1B,74
J2240.3--5241,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,2A,88
J2320.7+6115,39/1,0/0,0/0,1/0,0/0,1/0,3/0,1/0,31/20,23N,96
J2344.7--4234,13/0,1/0,0/0,0/0,21/14,0/0,0/0,0/0,2/1,13A 5N,88
J2355.2--5247,3/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2N,72
J2357.7+6802,17/4,0/0,0/0,0/0,0/0,2/0,5/2,0/0,8/7,13N,97
J2358.7+5646,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/2,,67
